filename,IOU,AP,threshold
Bombus_lapidarius_13033915_2,63.07,62.76,0.2
Bombus_lucorum_22940892_1,75.1,74.54,0.2
Bombus_pascuorum_72171519_1,79.1,83.47,0.2
Anthophora_plumipes_9961245_2,72.78,76.2,0.2
Andrena_fulva_24828677_1,82.54,82.57,0.2
Anthophora_plumipes_22324179_1,41.84,38.97,0.2
Osmia_bicornis_21903342_2,51.75,51.66,0.2
Xylocopa_violacea_46017657_1,79.44,79.54,0.2
Bombus_magnus_39079115_2,86.08,89.19,0.2
Bombus_lapidarius_20671231_1,32.2,31.65,0.2
Andrena_flavipes_41163118_1,77.7,82.37,0.2
Osmia_bicolor_75321538_1,79.07,79.15,0.2
Bombus_hypnorum_24576528_1,74.51,76.33,0.2
Osmia_cornuta_38436809_1,66.53,66.24,0.2
Andrena_vaga_1388570_1,77.73,77.55,0.2
Bombus_sylvarum_83366949_1,81.67,85.28,0.2
Halictus_scabiosae_25515682_4,81.54,81.7,0.2
Bombus_pratorum_22805213_1,67.51,68.07,0.2
Dasypoda_hirtipes_58885156_3,81.55,81.32,0.2
Halictus_scabiosae_34952476_3,79.12,79.2,0.2
Andrena_cineraria_26105053_1,68.19,68.01,0.2
Bombus_terrestris_103795230_1,74.32,73.68,0.2
Andrena_fulva_21595621_1,81.48,81.36,0.2
Bombus_hypnorum_12977923_2,75.56,79.46,0.2
Bombus_pascuorum_72256802_4,70.87,75.53,0.2
Bombus_hortorum_13704449_1,72.51,73.04,0.2
Bombus_lapidarius_11862211_1,83.5,84.98,0.2
Bombus_hortorum_21561462_1,89.1,90.19,0.2
Xylocopa_violacea_51089272_1,83.03,83.86,0.2
Dasypoda_hirtipes_52024003_2,81.01,80.81,0.2
Bombus_cryptarum_47659644_3,69.57,69.15,0.2
Andrena_bicolor_44969462_3,55.23,70.29,0.2
Bombus_hypnorum_24985879_1,28.73,27.09,0.2
Andrena_vaga_58631661_1,82.18,85.24,0.2
Andrena_haemorrhoa_24504960_1,65.55,66.63,0.2
Bombus_magnus_39079115_3,84.06,87.55,0.2
Andrena_fulva_41617060_1,9.32,9.26,0.2
Sphecodes_albilabris_64193431_1,80.03,79.59,0.2
Bombus_cryptarum_41698591_1,83.5,83.61,0.2
Andrena_fulva_24609371_8,82.1,81.97,0.2
Andrena_flavipes_41352869_1,75.97,77.9,0.2
Dasypoda_hirtipes_52735331_1,79.83,82.71,0.2
Bombus_sylvarum_37675101_1,87.12,91.25,0.2
Bombus_lapidarius_21321179_1,73.92,74.8,0.2
Xylocopa_violacea_46206341_1,85.1,85.58,0.2
Bombus_cryptarum_78460011_1,84.56,85.85,0.2
Osmia_bicolor_72350654_1,62.62,61.91,0.2
Bombus_terrestris_74043828_2,82.39,83.02,0.2
Bombus_terrestris_99521073_3,24.45,24.49,0.2
Andrena_cineraria_26513851_1,80.35,80.64,0.2
Andrena_cineraria_26685621_1,78.59,78.81,0.2
Bombus_lucorum_28318177_1,75.43,74.49,0.2
Bombus_terrestris_60497898_1,81.49,83.12,0.2
Osmia_cornuta_32297539_1,67.44,66.64,0.2
Osmia_bicolor_74939891_1,53.16,51.47,0.2
Bombus_pascuorum_70929264_1,64.64,63.69,0.2
Osmia_bicolor_64685876_1,66.4,67.03,0.2
Andrena_cineraria_21955817_1,79.59,79.54,0.2
Bombus_cryptarum_78988844_3,57.36,56.92,0.2
Osmia_bicolor_41683713_1,73.43,72.81,0.2
Andrena_fulva_12361560_1,68.74,67.32,0.2
Andrena_fulva_41818494_1,58.79,58.06,0.2
Bombus_lucorum_27507339_2,80.43,82.63,0.2
Sphecodes_albilabris_70109535_1,34.22,32.16,0.2
Bombus_cryptarum_46815891_4,54.69,54.7,0.2
Bombus_pascuorum_72268323_1,89.01,90.43,0.2
Sphecodes_albilabris_72911566_1,74.67,74.45,0.2
Andrena_flavipes_41163118_2,81.76,82.65,0.2
Osmia_bicolor_64280818_1,78.84,79.57,0.2
Andrena_flavipes_10588940_1,69.54,69.45,0.2
Bombus_lucorum_25622353_1,77.76,79.03,0.2
Andrena_fulva_25334479_3,81.83,81.81,0.2
Bombus_pascuorum_70941355_2,79.98,81.08,0.2
Anthophora_plumipes_21256341_1,75.74,75.73,0.2
Bombus_hypnorum_24931873_3,16.4,16.37,0.2
Bombus_sylvarum_65340263_2,18.89,25.52,0.2
Andrena_cineraria_22695589_1,74.18,73.84,0.2
Sphecodes_albilabris_91835021_1,66.28,65.07,0.2
Dasypoda_hirtipes_45952052_1,80.37,80.21,0.2
Bombus_pratorum_26758586_1,80.98,80.86,0.2
Sphecodes_albilabris_3973294_1,34.56,34.51,0.2
Bombus_pascuorum_72339385_2,63.65,62.08,0.2
Anthidium_manicatum_1307808_1,75.86,78.47,0.2
Andrena_flavipes_42347630_4,66.55,67.93,0.2
Bombus_hortorum_44246574_1,75.82,75.82,0.2
Andrena_fulva_20802109_1,81.33,82.64,0.2
Sphecodes_albilabris_91120069_1,72.06,72.53,0.2
Bombus_terrestris_74078943_2,78.35,78.27,0.2
Bombus_pratorum_41296088_1,81.79,81.85,0.2
Bombus_lapidarius_21352151_1,76.08,75.97,0.2
Bombus_terrestris_71501078_5,79.38,79.14,0.2
Andrena_vaga_5819305_7,70.01,69.63,0.2
Bombus_sylvarum_37675104_2,71.81,71.38,0.2
Bombus_lucorum_26758784_1,81.45,82.6,0.2
Dasypoda_hirtipes_31538737_1,76.06,78.17,0.2
Bombus_magnus_45413919_2,56.28,52.86,0.2
Andrena_haemorrhoa_19902478_1,81.77,82.7,0.2
Dasypoda_hirtipes_14133120_2,74.87,78.0,0.2
Osmia_cornuta_557630_3,66.86,66.34,0.2
Osmia_bicornis_25948103_1,81.86,82.66,0.2
Bombus_lucorum_28600638_1,54.42,54.07,0.2
Andrena_fulva_24609371_4,64.04,63.39,0.2
Bombus_hortorum_14267038_1,40.82,39.43,0.2
Osmia_cornuta_21387335_1,2.07,2.11,0.2
Andrena_vaga_42150989_4,71.87,71.0,0.2
Bombus_hortorum_46398111_1,12.32,13.62,0.2
Bombus_cryptarum_76326107_2,59.29,58.99,0.2
