filename,threshold,IOU,AP
Bombus_lapidarius_13033915_2,0.1,0.0,12.9
Bombus_lucorum_22940892_1,0.1,52.35,52.11
Bombus_pascuorum_72171519_1,0.1,86.19,87.65
Anthophora_plumipes_9961245_2,0.1,71.13,78.08
Andrena_fulva_24828677_1,0.1,80.13,80.43
Anthophora_plumipes_22324179_1,0.1,68.75,68.37
Osmia_bicornis_21903342_2,0.1,46.9,46.79
Xylocopa_violacea_46017657_1,0.1,74.72,74.54
Bombus_magnus_39079115_2,0.1,77.85,83.08
Bombus_lapidarius_20671231_1,0.1,51.09,50.67
Andrena_flavipes_41163118_1,0.1,78.28,83.19
Osmia_bicolor_75321538_1,0.1,76.88,76.53
Bombus_hypnorum_24576528_1,0.1,48.13,48.36
Osmia_cornuta_38436809_1,0.1,81.97,81.81
Andrena_vaga_1388570_1,0.1,63.46,63.23
Bombus_sylvarum_83366949_1,0.1,74.15,77.5
Halictus_scabiosae_25515682_4,0.1,54.11,53.97
Bombus_pratorum_22805213_1,0.1,48.19,52.39
Dasypoda_hirtipes_58885156_3,0.1,16.8,16.8
Halictus_scabiosae_34952476_3,0.1,75.25,75.19
Andrena_cineraria_26105053_1,0.1,58.98,58.62
Bombus_terrestris_103795230_1,0.1,6.52,6.52
Andrena_fulva_21595621_1,0.1,74.08,73.59
Bombus_hypnorum_12977923_2,0.1,52.74,62.83
Bombus_pascuorum_72256802_4,0.1,71.29,75.49
Bombus_hortorum_13704449_1,0.1,73.48,74.11
Bombus_lapidarius_11862211_1,0.1,82.78,83.06
Bombus_hortorum_21561462_1,0.1,86.24,86.93
Xylocopa_violacea_51089272_1,0.1,57.8,57.7
Dasypoda_hirtipes_52024003_2,0.1,70.03,69.73
Bombus_cryptarum_47659644_3,0.1,56.21,55.89
Andrena_bicolor_44969462_3,0.1,84.53,88.38
Bombus_hypnorum_24985879_1,0.1,63.47,61.08
Andrena_vaga_58631661_1,0.1,72.93,73.38
Andrena_haemorrhoa_24504960_1,0.1,66.96,66.61
Bombus_magnus_39079115_3,0.1,72.31,80.32
Andrena_fulva_41617060_1,0.1,60.44,59.05
Sphecodes_albilabris_64193431_1,0.1,68.72,67.91
Bombus_cryptarum_41698591_1,0.1,80.46,80.37
Andrena_fulva_24609371_8,0.1,78.76,79.5
Andrena_flavipes_41352869_1,0.1,69.67,70.01
Dasypoda_hirtipes_52735331_1,0.1,27.25,27.25
Bombus_sylvarum_37675101_1,0.1,86.55,90.9
Bombus_lapidarius_21321179_1,0.1,70.53,70.15
Xylocopa_violacea_46206341_1,0.1,66.6,66.54
Bombus_cryptarum_78460011_1,0.1,82.03,82.73
Osmia_bicolor_72350654_1,0.1,67.83,67.23
